feature_ind,sketch_id
182,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_7_13_number_owl_7_078
183,0532-734dfb32-c173-48df-bfa2-0decb357302b_owl_8_2_number_owl_8_078
184,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_1_30_number_rabbit_1_065
185,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_2_27_number_rabbit_2_048
186,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_3_17_number_rabbit_3_089
187,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_4_10_number_rabbit_4_056
188,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_5_3_number_rabbit_5_068
189,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_6_7_number_rabbit_6_065
190,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_7_22_number_rabbit_7_044
191,0532-734dfb32-c173-48df-bfa2-0decb357302b_rabbit_8_15_number_rabbit_8_073
192,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_1_24_number_bear_1_081
193,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_2_15_number_bear_2_023
194,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_3_6_number_bear_3_024
195,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_4_4_number_bear_4_043
196,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_5_29_number_bear_5_018
197,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_6_19_number_bear_6_028
198,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_7_12_number_bear_7_052
199,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_bear_8_25_number_bear_8_064
200,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_1_5_number_deer_1_059
201,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_2_27_number_deer_2_017
202,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_3_17_number_deer_3_000
203,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_4_21_number_deer_4_005
204,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_5_13_number_deer_5_000
205,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_6_2_number_deer_6_010
206,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_7_32_number_deer_7_003
207,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_deer_8_9_number_deer_8_022
208,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_1_14_number_owl_1_041
209,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_2_1_number_owl_2_035
210,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_3_26_number_owl_3_062
211,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_4_31_number_owl_4_069
212,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_5_18_number_owl_5_070
213,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_6_11_number_owl_6_037
214,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_7_7_number_owl_7_063
215,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_owl_8_23_number_owl_8_018
216,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_1_30_number_rabbit_1_007
217,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_2_20_number_rabbit_2_047
218,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_3_16_number_rabbit_3_061
219,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_4_10_number_rabbit_4_057
220,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_5_8_number_rabbit_5_034
221,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_6_28_number_rabbit_6_051
222,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_7_22_number_rabbit_7_000
223,0646-33d71b5d-3800-4485-b05a-91338ba7bde8_rabbit_8_3_number_rabbit_8_006
224,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_1_7_shape_bear_1_009
225,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_2_26_shape_bear_2_013
226,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_3_3_shape_bear_3_007
227,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_4_20_shape_bear_4_070
228,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_5_12_shape_bear_5_081
229,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_6_13_shape_bear_6_053
230,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_7_32_shape_bear_7_054
231,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_bear_8_23_shape_bear_8_017
232,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_1_14_shape_deer_1_002
233,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_2_8_shape_deer_2_055
234,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_3_10_shape_deer_3_055
235,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_4_25_shape_deer_4_044
236,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_5_18_shape_deer_5_012
237,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_6_22_shape_deer_6_098
238,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_7_2_shape_deer_7_073
239,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_deer_8_30_shape_deer_8_021
240,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_1_29_shape_owl_1_049
241,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_2_21_shape_owl_2_066
242,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_3_27_shape_owl_3_069
243,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_4_15_shape_owl_4_064
244,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_5_5_shape_owl_5_035
245,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_6_4_shape_owl_6_060
246,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_7_17_shape_owl_7_030
247,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_owl_8_9_shape_owl_8_049
248,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_1_19_shape_rabbit_1_005
249,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_2_11_shape_rabbit_2_048
250,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_3_24_shape_rabbit_3_069
251,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_4_1_shape_rabbit_4_003
252,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_5_31_shape_rabbit_5_071
253,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_6_28_shape_rabbit_6_032
254,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_7_16_shape_rabbit_7_059
255,0885-d57e4e9f-a2c5-4978-a12f-b219cafba17e_rabbit_8_6_shape_rabbit_8_072
256,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_1_8_number_bear_1_054
257,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_2_21_number_bear_2_016
258,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_3_17_number_bear_3_062
259,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_4_28_number_bear_4_067
260,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_5_30_number_bear_5_067
261,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_6_1_number_bear_6_054
262,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_7_9_number_bear_7_098
263,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_bear_8_14_number_bear_8_024
264,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_1_29_number_deer_1_076
265,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_2_15_number_deer_2_076
266,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_3_11_number_deer_3_072
267,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_4_6_number_deer_4_095
268,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_5_3_number_deer_5_000
269,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_6_26_number_deer_6_087
270,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_7_23_number_deer_7_012
271,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_deer_8_20_number_deer_8_030
272,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_1_16_number_owl_1_087
273,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_2_7_number_owl_2_066
274,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_3_2_number_owl_3_009
275,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_4_22_number_owl_4_028
276,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_5_18_number_owl_5_032
277,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_6_10_number_owl_6_038
278,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_7_25_number_owl_7_015
279,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_owl_8_31_number_owl_8_014
280,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_rabbit_1_19_number_rabbit_1_047
281,1034-bd869e68-6b1e-41b8-b50b-98b16f6692a6_rabbit_2_32_number_rabbit_2_021
