,iterationName,gameID,trialNum,trialStartTime,submitTime,clickedTime,confirmTime,totalTrialDuration,PT,RT,cardinality,clicked,correct,score,symbols,symbolsProcess,targetLoc,d1,d2,messageLength,tokenRatio
84,run1,9549-c1f18c59-6c49-47ae-8896-f452feff6da5,7,1639593365684.0,1639593371776.0,1639593376336.0,1639593377336.0,11.652,6.092,5.56,4,4,True,9,[4],1639593371749:4,3,3,2,1,0.25
85,run1,2515-ce45844d-b4fd-4433-9d4f-5244bcd8c2b1,2,1639593354988.0,1639593372721.0,1639593387952.0,1639593389207.0,34.219,17.733,16.486,15,15,True,0,[2],1639593366384:2,2,16,14,1,0.06666666666666667
86,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,11,1639593369510.0,1639593376376.0,1639593378905.0,1639593379831.0,10.321,6.866,3.455,8,8,True,30,"[4, 4]","1639593376763:4,1639593376944:4",1,7,9,2,0.25
87,run1,0089-84ef8c77-b491-4608-9f6f-f3b5bab1c2d8,1,1639593349674.0,1639593377793.0,1639593402156.0,1639593413723.0,64.049,28.119,35.93,8,8,True,0,[3],1639593363870:3,1,9,10,1,0.125
88,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,9,1639593369519.0,1639593380704.0,1639593375528.0,1639593395803.0,26.284,11.185,15.099,13,14,False,12,[3],1639593379058:3,2,12,14,1,0.07692307692307693
89,run1,1910-999a012a-2df3-407f-9195-0d3ab6383c75,10,1639593370455.0,1639593382427.0,1639593389605.0,1639593390165.0,19.71,11.972,7.738,9,11,False,3,"[1, 1, 1, 4]","1639593377184:1,1639593377365:1,1639593377534:1,1639593382041:4",3,10,11,4,0.4444444444444444
90,run1,9549-c1f18c59-6c49-47ae-8896-f452feff6da5,8,1639593379341.0,1639593383546.0,1639593386796.0,1639593388413.0,9.072,4.205,4.867,1,1,True,12,[1],1639593384368:1,1,3,2,1,1.0
91,run1,0109-d3e47dfb-f202-4c77-8950-a58d3d313e5e,5,1639593369103.0,1639593386301.0,1639593394188.0,1639593395881.0,26.778,17.198,9.58,6,6,True,6,[2],1639593393905:2,2,8,7,1,0.16666666666666666
92,run1,4980-5c8ed6af-41f5-4cdb-a5b1-02ad7374d5e0,3,1639593371387.0,1639593386589.0,1639593400728.0,1639593401464.0,30.077,15.202,14.875,11,11,True,0,"[1, 4, 2]","1639593391521:1,1639593392716:4,1639593393372:2",2,9,10,3,0.2727272727272727
93,run1,5157-3d1a9fad-c10e-4a00-8c24-a22868d60b2d,6,1639593382553.0,1639593391302.0,1639593394589.0,1639593396377.0,13.824,8.749,5.075,3,3,True,12,"[1, 2]","1639593264086:1,1639593264865:2",3,4,2,2,0.6666666666666666
94,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,12,1639593381841.0,1639593392167.0,1639593398299.0,1639593399771.0,17.93,10.326,7.604,14,14,True,33,"[4, 4, 4, 2]","1639593391315:4,1639593391576:4,1639593392678:4,1639593393142:2",1,13,15,4,0.2857142857142857
95,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,12,1639593385813.0,1639593393474.0,1639593403974.0,1639593405176.0,19.363,7.661,11.702,5,5,True,21,"[1, 3, 1]","1639593390624:1,1639593392059:3,1639593392666:1",1,6,4,3,0.6
96,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,14,1639593380028.0,1639593393520.0,1639593401697.0,1639593403156.0,23.128,13.492,9.636,13,13,True,18,"[4, 4]","1639593392201:4,1639593392377:4",2,14,15,2,0.15384615384615385
